Common_Code,Diagnosis
V300,Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident
V301,Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident
V302,Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident
V303,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident
V304,Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedestrian or animal
V305,Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident
V306,Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident
V307,Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident
V309,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident
V310,Driver of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident
V311,Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident
V312,Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident
V313,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident
V314,Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle
V315,Driver of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident
V316,Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident
V317,Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident
V319,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident
V320,Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V321,Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V322,Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V323,Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V324,Person boarding or alighting a three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V325,Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V326,Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V327,Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V329,Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V330,"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V331,"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V332,"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V333,"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V334,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V335,"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident"
V336,"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident"
V337,"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident"
V339,"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident"
V340,Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V341,Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V342,Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V343,Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V344,Person boarding or alighting a three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V345,Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V346,Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V347,Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V349,Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V350,Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V351,Passenger in three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V352,Person on outside of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V353,Unspecified occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V354,Person boarding or alighting a three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V355,Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident
V356,Passenger in three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident
V357,Person on outside of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident
V359,Unspecified occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident
V360,Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V361,Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V362,Person on outside of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V363,Unspecified occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V364,Person boarding or alighting a three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V365,Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident
V366,Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident
V367,Person on outside of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident
V369,Unspecified occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident
V370,Driver of three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident
V371,Passenger in three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident
V372,Person on outside of three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident
V373,Unspecified occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident
V374,Person boarding or alighting a three-wheeled motor vehicle injured in collision with fixed or stationary object
V375,Driver of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident
V376,Passenger in three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident
V377,Person on outside of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident
V379,Unspecified occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident
V380,Driver of three-wheeled motor vehicle injured in noncollision transport accident in nontraffic accident
V381,Passenger in three-wheeled motor vehicle injured in noncollision transport accident in nontraffic accident
V382,Person on outside of three-wheeled motor vehicle injured in noncollision transport accident in nontraffic accident
V383,Unspecified occupant of three-wheeled motor vehicle injured in noncollision transport accident in nontraffic accident
V384,Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident
V385,Driver of three-wheeled motor vehicle injured in noncollision transport accident in traffic accident
V386,Passenger in three-wheeled motor vehicle injured in noncollision transport accident in traffic accident
V387,Person on outside of three-wheeled motor vehicle injured in noncollision transport accident in traffic accident
